model,sb,day,time,trial,nEntropy,nnmp,vacuity,dissonance,overall
ecnn0,1,2,AM,10,0.5628106509727743,0.5563615254025075,,,0.5646628085809684
ecnn0,1,2,AM,11,0.5390534702310079,0.5303023670364311,,,0.535640378346695
ecnn0,1,2,AM,12,0.5491984473520184,0.5285770917492095,,,0.5450510821047232
ecnn0,1,2,PM,1,0.5218815551968851,0.5173905738496501,,,0.5209012921729179
ecnn0,1,2,PM,2,0.5101311864733988,0.4808700349627396,,,0.5046427188372349
ecnn0,1,2,PM,3,0.5314499119253909,0.5075909546397971,,,0.5285901727299
ecnn0,1,2,PM,4,0.5395282548470682,0.5210058851730466,,,0.5351600774985933
ecnn0,1,2,PM,5,0.5992000282473666,0.5601273446837625,,,0.5890774736182435
ecnn0,1,2,PM,6,0.5912798021855403,0.5881432266369713,,,0.5894279831412382
ecnn0,1,2,PM,7,0.5993076692497298,0.5814645261651323,,,0.5933152250937819
ecnn0,1,2,PM,8,0.5264108492474492,0.5018809419529907,,,0.522414595833808
ecnn0,1,2,PM,9,0.5462785694934167,0.5218246850931938,,,0.5406108817535608
ecnn0,1,2,PM,10,0.5439695472126027,0.5338593283832401,,,0.547586265107534
ecnn0,1,2,PM,11,0.5339477532802227,0.5209672942294167,,,0.5380330888924384
ecnn0,1,2,PM,12,0.50597512836171,0.4990802096475992,,,0.507490140794309
ecnn0,1,3,AM,1,0.5207399760309134,0.5028353983805017,,,0.5224496065824508
ecnn0,1,3,AM,2,0.5649683808285981,0.5351501664329551,,,0.5589787945199396
ecnn0,1,3,AM,3,0.5345252041250531,0.5061514290520853,,,0.5303334364109702
ecnn0,1,3,AM,4,0.39465152029927497,0.3831630036292731,,,0.3921468419156161
ecnn0,1,3,AM,5,0.5491426848429092,0.5149648487222028,,,0.5461023528687668
ecnn0,1,3,AM,6,0.5291194656154737,0.5158396349344849,,,0.5281154435715724
ecnn0,1,3,AM,7,0.52583566708007,0.5217422565701736,,,0.5303768337381581
ecnn0,1,3,AM,8,0.4706849023358302,0.4691941051078337,,,0.468103821377391
ecnn0,1,3,AM,9,0.5431331738125318,0.5228956007848657,,,0.5437966017525422
ecnn0,1,3,AM,10,0.465578717839549,0.448370523822539,,,0.4648431314438654
ecnn0,1,3,AM,11,0.5239739283691138,0.5087740708174565,,,0.5259786903792544
ecnn0,1,3,AM,12,0.5270640373426,0.5095607647885834,,,0.5243779054421085
ecnn0,1,3,PM,1,0.5007600181688401,0.4874849855638338,,,0.4987226666023729
ecnn0,1,3,PM,2,0.5396738759895933,0.5304579514383349,,,0.5396775005064587
ecnn0,1,3,PM,3,0.5799644460636756,0.5797738193272429,,,0.5809645349435038
ecnn0,1,3,PM,4,0.5471581951567419,0.5258681826525444,,,0.5450746087439227
ecnn0,1,3,PM,5,0.538861429649563,0.5134567434466013,,,0.5389210545651482
ecnn0,1,3,PM,6,0.5285969941165608,0.5120080094565542,,,0.5264620956833979
ecnn0,1,3,PM,7,0.6094242537215632,0.5897193422440032,,,0.6043594150824879
ecnn0,1,3,PM,8,0.6044134754284177,0.5651111140592616,,,0.6014896196362757
ecnn0,1,3,PM,9,0.5266978249877292,0.5260721849089314,,,0.5289632412898425
ecnn0,1,3,PM,10,0.6036869763151617,0.581309029856894,,,0.6020495121114083
ecnn0,1,3,PM,11,0.5729978844140824,0.5611166885060438,,,0.5724299082416022
ecnn0,1,3,PM,12,0.5963844581220044,0.5706082236776727,,,0.5948788589018036
ecnn0,1,4,AM,1,0.5483236446800114,0.5203195623522491,,,0.5469927339340559
ecnn0,1,4,AM,2,0.5010612938381838,0.4772465936942085,,,0.4984377821241401
ecnn0,1,4,AM,3,0.5562779455883311,0.5391280302082633,,,0.5541893346764092
ecnn0,1,4,AM,4,0.5551862875411575,0.5293699507922507,,,0.5532759600486621
ecnn0,1,4,AM,5,0.6285661816003217,0.5970719668147968,,,0.6263536738086662
ecnn0,1,4,AM,6,0.5438894648046092,0.5147329357649706,,,0.5333022410695953
ecnn0,1,4,AM,7,0.543765018967219,0.5186710015216455,,,0.5331649753178933
ecnn0,1,4,AM,8,0.5626335329629798,0.5442002612985378,,,0.5601236882028747
ecnn0,1,4,AM,9,0.5470891073627799,0.5283826743472522,,,0.5424693529814051
ecnn0,1,4,AM,10,0.5782579293563885,0.5512988715660128,,,0.5749783374321674
ecnn0,1,4,AM,11,0.5145286096729169,0.5012806990647272,,,0.5090634808861116
ecnn0,1,4,AM,12,0.5428925249666373,0.5225235988037202,,,0.5373001091364583
ecnn0,1,4,PM,1,0.5411695344512079,0.5307658042598076,,,0.5369714588482237
ecnn0,1,4,PM,2,0.5535295244439399,0.5476513899065711,,,0.5539837237313897
ecnn0,1,4,PM,3,0.5251659429617753,0.5080495181697149,,,0.5243579542803649
ecnn0,1,4,PM,4,0.5306949364064661,0.5084056199504768,,,0.5307282598517239
ecnn0,1,4,PM,5,0.5975070979219271,0.5702375827845851,,,0.5880170752001144
ecnn0,1,4,PM,6,0.4534001083142925,0.4527511856585749,,,0.4551580210043508
ecnn0,1,4,PM,7,0.5471457368587607,0.5549156943077119,,,0.5517489277399533
ecnn0,1,4,PM,8,0.480176097345949,0.4554505945092195,,,0.4797047067280357
ecnn0,1,4,PM,9,0.5309353712796628,0.5133586900163926,,,0.5253523757391163
ecnn0,1,4,PM,10,0.45387737622004504,0.4451133710551729,,,0.4513665667340654
ecnn0,1,4,PM,11,0.5387356195433253,0.5239170843842182,,,0.5359422379847824
ecnn0,1,4,PM,12,0.434870472676948,0.4312984336919667,,,0.43750588485735264
ecnn0,1,5,AM,1,0.5347944944110269,0.5071635758512137,,,0.5324968786584227
ecnn0,1,5,AM,2,0.4952438978700866,0.4962188196672958,,,0.4966849020095796
ecnn0,1,5,AM,3,0.5126573172148184,0.4933360885188471,,,0.5095997079915225
ecnn0,1,5,AM,4,0.5112752326664444,0.5029961821472639,,,0.5131414762352806
ecnn0,1,5,AM,5,0.5384113938348012,0.5181966801105856,,,0.5319876404816468
ecnn0,1,5,AM,6,0.4832024846708904,0.4570639681747888,,,0.4777950334253222
ecnn0,1,5,AM,7,0.5370725272856051,0.5241521010805198,,,0.537247214292545
ecnn0,1,5,AM,8,0.582910471696974,0.5656771850700403,,,0.5797096873141366
ecnn0,1,5,AM,9,0.5048850614640814,0.4786159711660874,,,0.5009354736233517
ecnn0,1,5,AM,10,0.6066806248115765,0.5938418284615337,,,0.6029038875421945
ecnn0,1,5,AM,11,0.5193178210165941,0.513824588769435,,,0.5195912887174432
ecnn0,1,5,AM,12,0.4693999392471964,0.4547425541714074,,,0.4676784540971845
ecnn0,1,5,PM,1,0.6195837568174025,0.5915608693154752,,,0.6132764320438306
ecnn0,1,5,PM,2,0.6023839694076667,0.5942769573492519,,,0.6031778052722431
ecnn0,1,5,PM,3,0.5171431167554941,0.50926782734141,,,0.5155874348342309
ecnn0,1,5,PM,4,0.5798599729875642,0.5706188928215487,,,0.5778576345909467
ecnn0,1,5,PM,5,0.563058818537186,0.5454503251154877,,,0.5595184318920778
ecnn0,1,5,PM,6,0.5203351677019105,0.5127180773346254,,,0.5201041309547719
ecnn0,1,5,PM,7,0.5489348736404083,0.5325098523966192,,,0.5443897307597372
ecnn0,1,5,PM,8,0.6032436867307653,0.5777168936103279,,,0.5963548156584239
ecnn0,1,5,PM,9,0.595243153333749,0.5780090403536949,,,0.5933325041513973
ecnn0,1,5,PM,10,0.5595452036978227,0.5381714698102342,,,0.5557252117455569
ecnn0,1,5,PM,11,0.5209133386613118,0.4960572563980165,,,0.5149578384933652
ecnn0,1,5,PM,12,0.6047705458956228,0.5829356302205065,,,0.5992766613080264
ecnn1,1,1,AM,1,0.4581613997736911,0.4984426490156016,0.17872518544544266,0.4258118819303605,0.4732354125919422
ecnn1,1,1,AM,2,0.4457857352210231,0.4941053865032224,0.19637183380585185,0.4003868682503845,0.4464245897389568
ecnn1,1,1,AM,3,0.546931777151312,0.5182219220006882,0.4709994682590657,0.40068743823350816,0.4863422887876021
ecnn1,1,1,AM,4,0.4435460394855533,0.4447664898851345,0.193613437401534,0.3712040996618397,0.464734415703947
ecnn1,1,1,AM,5,0.3888390677528567,0.4234047028319821,0.1725450524867085,0.3453818764320977,0.3872554107521015
ecnn1,1,1,AM,6,0.5100152526715295,0.5392072973250007,0.2558165090969479,0.4238607954016982,0.4982592427325058
ecnn1,1,1,AM,7,0.36982275833647255,0.4213622442083215,0.21113598535953326,0.3384105236135689,0.37276921152895626
ecnn1,1,1,AM,8,0.44912396009657696,0.4992526795889695,0.12956948061134313,0.3841409531696509,0.4640980445262182
