model,sb,day,time,trial,acc
ecnn0,1,5,PM,9,0.6324752475247525
ecnn0,1,5,PM,10,0.6287940935192781
ecnn0,1,5,PM,11,0.662505034232783
ecnn0,1,5,PM,12,0.6416135881104034
ecnn1,1,1,AM,1,0.904313725490196
ecnn1,1,1,AM,2,0.9104976997072356
ecnn1,1,1,AM,3,0.7440191387559809
ecnn1,1,1,AM,4,0.9089775561097256
ecnn1,1,1,AM,5,0.9166998804304504
ecnn1,1,1,AM,6,0.9198473282442748
ecnn1,1,1,AM,7,0.9231398201144726
ecnn1,1,1,AM,8,0.9412262156448205
ecnn1,1,1,AM,9,0.7858312858312858
ecnn1,1,1,AM,10,0.8897058823529411
ecnn1,1,1,AM,11,0.9144921718185468
ecnn1,1,1,AM,12,0.9249687369737388
ecnn1,1,1,PM,1,0.9059192473539788
ecnn1,1,1,PM,2,0.9184441656210792
ecnn1,1,1,PM,3,0.770703125
ecnn1,1,1,PM,4,0.8988021478727798
ecnn1,1,1,PM,5,0.8756476683937824
ecnn1,1,1,PM,6,0.9183757178014766
ecnn1,1,1,PM,7,0.8827283605903471
ecnn1,1,1,PM,8,0.9389632107023412
ecnn1,1,1,PM,9,0.7337584695097649
ecnn1,1,1,PM,10,0.9106122448979592
ecnn1,1,1,PM,11,0.9153969526864476
ecnn1,1,1,PM,12,0.9175824175824177
ecnn1,1,2,AM,1,0.6857490864799025
ecnn1,1,2,AM,2,0.6922755741127349
ecnn1,1,2,AM,3,0.7466774063632703
ecnn1,1,2,AM,4,0.641110650642354
ecnn1,1,2,AM,5,0.7045916294189354
ecnn1,1,2,AM,6,0.6783042394014963
ecnn1,1,2,AM,7,0.7352707006369427
ecnn1,1,2,AM,8,0.7026468155500414
ecnn1,1,2,AM,9,0.7210043842168194
ecnn1,1,2,AM,10,0.6679405520169851
ecnn1,1,2,AM,11,0.7011173184357542
ecnn1,1,2,AM,12,0.6504534212695795
ecnn1,1,2,PM,1,0.5825242718446602
ecnn1,1,2,PM,2,0.6303080766028311
ecnn1,1,2,PM,3,0.6107301331181928
ecnn1,1,2,PM,4,0.649028524183547
ecnn1,1,2,PM,5,0.5938775510204082
ecnn1,1,2,PM,6,0.60084388185654
ecnn1,1,2,PM,7,0.6348049721388771
ecnn1,1,2,PM,8,0.6831072749691739
ecnn1,1,2,PM,9,0.6432323232323233
ecnn1,1,2,PM,10,0.6644763860369611
ecnn1,1,2,PM,11,0.664424218440839
ecnn1,1,2,PM,12,0.7057851239669422
ecnn1,1,3,AM,1,0.6488046166529267
ecnn1,1,3,AM,2,0.5928223305272485
ecnn1,1,3,AM,3,0.6420969649191959
ecnn1,1,3,AM,4,0.5957538994800693
ecnn1,1,3,AM,5,0.6954582319545823
ecnn1,1,3,AM,6,0.6433978132884777
ecnn1,1,3,AM,7,0.6560065600656007
ecnn1,1,3,AM,8,0.6817010309278351
ecnn1,1,3,AM,9,0.7068822553897179
ecnn1,1,3,AM,10,0.7258860475549573
ecnn1,1,3,AM,11,0.6831643002028398
ecnn1,1,3,AM,12,0.7107758620689655
ecnn1,1,3,PM,1,0.4903523489932886
ecnn1,1,3,PM,2,0.5266323024054983
ecnn1,1,3,PM,3,0.5667359667359667
ecnn1,1,3,PM,4,0.5138711054204012
ecnn1,1,3,PM,5,0.4814361485108119
ecnn1,1,3,PM,6,0.5528455284552846
ecnn1,1,3,PM,7,0.5069444444444444
ecnn1,1,3,PM,8,0.6162253047498949
ecnn1,1,3,PM,9,0.5172117039586919
ecnn1,1,3,PM,10,0.5275758871312527
ecnn1,1,3,PM,11,0.4824202780049059
ecnn1,1,3,PM,12,0.5150992234685073
ecnn1,1,4,AM,1,0.6750205423171733
