model,sb,day,time,trial,stability
ecnn0,1,5,PM,9,0.8276545166402536
ecnn0,1,5,PM,10,0.8137053754616331
ecnn0,1,5,PM,11,0.8094278807413376
ecnn0,1,5,PM,12,0.7948173322005098
ecnn1,1,1,AM,1,0.9419380149078068
ecnn1,1,1,AM,2,0.9539748953974896
ecnn1,1,1,AM,3,0.8827283605903471
ecnn1,1,1,AM,4,0.9459459459459459
ecnn1,1,1,AM,5,0.9465709728867624
ecnn1,1,1,AM,6,0.9435723377174374
ecnn1,1,1,AM,7,0.9562372188139059
ecnn1,1,1,AM,8,0.955160744500846
ecnn1,1,1,AM,9,0.8906185989348627
ecnn1,1,1,AM,10,0.9415610952186352
ecnn1,1,1,AM,11,0.9433734939759036
ecnn1,1,1,AM,12,0.9462051709758132
ecnn1,1,1,PM,1,0.9462745098039216
ecnn1,1,1,PM,2,0.9510460251046025
ecnn1,1,1,PM,3,0.8718249316139117
ecnn1,1,1,PM,4,0.9396694214876034
ecnn1,1,1,PM,5,0.9513556618819776
ecnn1,1,1,PM,6,0.9454247025030776
ecnn1,1,1,PM,7,0.9297685554668796
ecnn1,1,1,PM,8,0.9539941447093266
ecnn1,1,1,PM,9,0.8971291866028708
ecnn1,1,1,PM,10,0.9452837893017558
ecnn1,1,1,PM,11,0.9530685920577616
ecnn1,1,1,PM,12,0.9602536997885835
ecnn1,1,2,AM,1,0.8558082859463849
ecnn1,1,2,AM,2,0.8533834586466166
ecnn1,1,2,AM,3,0.8509266720386784
ecnn1,1,2,AM,4,0.8478441127694859
ecnn1,1,2,AM,5,0.8678861788617886
ecnn1,1,2,AM,6,0.8224532224532224
ecnn1,1,2,AM,7,0.8534448426921545
ecnn1,1,2,AM,8,0.8638808440215142
ecnn1,1,2,AM,9,0.8748006379585327
ecnn1,1,2,AM,10,0.8313508920985556
ecnn1,1,2,AM,11,0.8686626746506986
ecnn1,1,2,AM,12,0.8457731958762886
ecnn1,1,2,PM,1,0.8381222177256171
ecnn1,1,2,PM,2,0.8292378175760101
ecnn1,1,2,PM,3,0.8389830508474576
ecnn1,1,2,PM,4,0.8490488006617039
ecnn1,1,2,PM,5,0.8668844426296447
ecnn1,1,2,PM,6,0.8737864077669903
ecnn1,1,2,PM,7,0.8387650085763293
ecnn1,1,2,PM,8,0.8453947368421053
ecnn1,1,2,PM,9,0.8476151980598221
ecnn1,1,2,PM,10,0.8549712407559573
